tempo_ros,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw
176.08,4.651700254538291,2.9997382010874514,-7.704526897602016e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.09,4.651700365034683,2.9997382015130243,-7.704532950586151e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.1,4.651700475531887,2.9997382019385967,-7.704539003517533e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.11,4.6517005860299,2.999738202364169,-7.704545056379731e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.12,4.651700696528724,2.9997382027897417,-7.704551109185154e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.13,4.651700807028359,2.999738203215314,-7.704557161909917e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.14,4.651700917528802,2.999738203640886,-7.704563214585875e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.15,4.6517010280300575,2.999738204066458,-7.704569267167912e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.16,4.651701138532123,2.99973820449203,-7.70457531969992e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.17,4.651701249034997,2.999738204917602,-7.704581372179035e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.18,4.651701359538683,2.9997382053431734,-7.704587424592478e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.18,4.651701470043179,2.999738205768745,-7.704593476925112e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.2,4.651701580548485,2.9997382061943165,-7.704599529203721e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.21,4.651701691054602,2.9997382066198877,-7.704605581404404e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.22,4.651701801561528,2.999738207045459,-7.704611633547835e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.22,4.6517019120692655,2.9997382074710304,-7.70461768562869e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.23,4.651702022577813,2.999738207896601,-7.704623737627744e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.25,4.651702133087171,2.9997382083221718,-7.704629789579764e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.25,4.651702243597339,2.9997382087477424,-7.704635841454715e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.27,4.651702354108318,2.999738209173313,-7.704641893270987e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.28,4.651702464620106,2.999738209598884,-7.704647945015007e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.29,4.651702575132706,2.999738210024454,-7.704653996700716e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.3,4.651702685646116,2.9997382104500243,-7.704660048313222e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.31,4.651702796160336,2.999738210875594,-7.704666099850888e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.32,4.651702906675367,2.999738211301164,-7.704672151327196e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.33,4.651703017191208,2.999738211726734,-7.704678202733882e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.34,4.651703127707859,2.999738212152304,-7.704684254083607e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.35,4.651703238225321,2.9997382125778733,-7.704690305359454e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.36,4.6517033487435935,2.999738213003443,-7.70469635657841e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.37,4.651703459262676,2.9997382134290125,-7.704702407732758e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.38,4.651703569782569,2.9997382138545814,-7.704708458814235e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.39,4.651703680303273,2.9997382142801507,-7.70471450985018e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.4,4.651703790824786,2.9997382147057197,-7.704720560806846e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.41,4.65170390134711,2.999738215131288,-7.704726611693109e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.42,4.651704011870245,2.999738215556857,-7.704732662508602e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.43,4.65170412239419,2.9997382159824255,-7.704738713256774e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.44,4.651704232918946,2.999738216407994,-7.704744763952867e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.45,4.6517043434445124,2.999738216833563,-7.704750814562594e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.46,4.651704453970889,2.999738217259131,-7.704756865113478e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.47,4.6517045644980755,2.9997382176846994,-7.70476291560794e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.48,4.651704675026074,2.9997382181102674,-7.704768966034524e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.49,4.651704785554882,2.999738218535835,-7.704775016395337e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.5,4.6517048960845,2.999738218961403,-7.704781066675159e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.51,4.65170500661493,2.9997382193869706,-7.704787116896289e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.52,4.651705117146169,2.999738219812538,-7.704793167042197e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.53,4.651705227678219,2.9997382202381053,-7.704799217121232e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.54,4.65170533821108,2.999738220663673,-7.704805267156172e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.55,4.6517054487447504,2.99973822108924,-7.704811317110751e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.55,4.6517055592792325,2.999738221514807,-7.704817366988461e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.57,4.651705669814525,2.999738221940374,-7.704823416812923e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.58,4.651705780350627,2.999738222365941,-7.704829466555645e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.59,4.651705890887541,2.9997382227915077,-7.704835516256202e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.6,4.651706001425265,2.9997382232170744,-7.70484156588983e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.61,4.651706111963799,2.9997382236426406,-7.704847615438618e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.62,4.651706222503144,2.9997382240682073,-7.704853664936184e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.63,4.6517063330433,2.9997382244937736,-7.704859714367778e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.64,4.651706443584267,2.9997382249193394,-7.704865763750713e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.65,4.651706554126044,2.9997382253449056,-7.704871813066713e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.66,4.651706664668631,2.9997382257704714,-7.704877862292401e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.67,4.651706775212029,2.9997382261960372,-7.704883911468229e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.68,4.651706885756237,2.999738226621603,-7.70488996055531e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.69,4.6517069963012565,2.9997382270471684,-7.704896009597225e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.7,4.651707106847087,2.9997382274727338,-7.704902058562981e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.71,4.651707217393727,2.999738227898299,-7.704908107479064e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.72,4.651707327941178,2.999738228323864,-7.704914156313922e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.73,4.6517074384894395,2.9997382287494294,-7.704920205086104e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.74,4.651707549038512,2.9997382291749943,-7.704926253808201e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.75,4.6517076595883955,2.9997382296005592,-7.704932302462349e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.76,4.651707770139089,2.9997382300261237,-7.704938351047914e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.77,4.651707880690593,2.999738230451688,-7.704944399553438e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.78,4.651707991242908,2.9997382308772527,-7.704950447991501e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.79,4.651708101796034,2.999738231302817,-7.704956496383174e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.8,4.651708212349971,2.9997382317283807,-7.70496254471092e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.81,4.651708322904718,2.9997382321539448,-7.704968592961606e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.81,4.651708433460275,2.999738232579509,-7.704974641148362e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.83,4.6517085440166435,2.999738233005073,-7.704980689276495e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.84,4.651708654573823,2.999738233430637,-7.704986737323198e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.85,4.651708765131812,2.9997382338562,-7.70499278530987e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.86,4.6517088756906135,2.9997382342817636,-7.704998833215952e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.87,4.651708986250225,2.999738234707327,-7.70500488105607e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.88,4.651709096810646,2.9997382351328903,-7.705010928829382e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.89,4.651709207371879,2.9997382355584534,-7.705016976543583e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.9,4.651709317933922,2.9997382359840166,-7.705023024177968e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.91,4.651709428496776,2.9997382364095793,-7.705029071759937e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.92,4.651709539060441,2.999738236835142,-7.705035119269225e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.93,4.651709649624917,2.999738237260704,-7.705041166728949e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.94,4.6517097601902035,2.999738237686267,-7.705047214115841e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.94,4.6517098707563,2.999738238111829,-7.705053261419961e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.96,4.651709981323209,2.9997382385373914,-7.705059308668849e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.97,4.651710091890928,2.9997382389629537,-7.70506535584728e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.98,4.651710202459458,2.999738239388516,-7.705071402948203e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
176.99,4.651710313028799,2.9997382398140777,-7.705077449986809e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
177.0,4.65171042359895,2.9997382402396395,-7.705083496958015e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
177.01,4.651710534169913,2.9997382406652013,-7.705089543874315e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
177.02,4.651710644741686,2.9997382410907627,-7.70509559071192e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
177.03,4.65171075531427,2.999738241516324,-7.705101637510965e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
177.04,4.651710865887664,2.9997382419418854,-7.705107684237607e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
177.05,4.651710976461869,2.9997382423674464,-7.705113730904974e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
177.06,4.651711087036886,2.9997382427930073,-7.705119777506883e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
177.07,4.6517111976127135,2.9997382432185686,-7.70512582404064e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
177.08,4.651711308189351,2.9997382436441296,-7.705131870510836e-05,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
177.09,4.651870386519432,2.9997404739054385,-0.0001118274353707708,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
177.1,4.6522239448018174,2.999738242200903,-0.0002987655391459935,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
177.11,4.652779331146244,2.999707254359886,-0.0005876817701522683,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
177.12,4.653502066760565,2.9996265921015146,-0.0010174129118602157,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
177.13,4.654428858015498,2.9995219795119237,-0.0014844588170642586,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
177.13,4.655525522092052,2.999375039868305,-0.0021055674124657816,-0.08878226536095431,-0.12437633293298181,0.09306031470318758
