tempo_ros,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw
455.5,4.655127792440692,2.99975005632022,-7.844920842897137e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.51,4.6551279281835205,2.9997500567434274,-7.844924717124848e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.52,4.655128063927354,2.9997500571666347,-7.844928591271764e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.52,4.655128199672191,2.999750057589842,-7.844932465305411e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.54,4.655128335418033,2.999750058013049,-7.844936339251417e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.54,4.65512847116488,2.9997500584362564,-7.844940213098908e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.56,4.655128606912732,2.999750058859463,-7.844944086875447e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.57,4.655128742661588,2.99975005928267,-7.844947960557999e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.58,4.655128878411449,2.999750059705877,-7.844951834134025e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.59,4.6551290141623145,2.9997500601290836,-7.844955707619474e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.59,4.655129149914185,2.9997500605522904,-7.84495958102327e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.61,4.655129285667059,2.9997500609754972,-7.844963454329925e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.62,4.655129421420939,2.999750061398704,-7.844967327562833e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.63,4.655129557175823,2.999750061821911,-7.84497120070481e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.64,4.6551296929317125,2.999750062245117,-7.844975073734433e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.65,4.655129828688606,2.9997500626683236,-7.844978946673059e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.66,4.655129964446504,2.99975006309153,-7.844982819506002e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.66,4.655130100205407,2.9997500635147363,-7.844986692248453e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.68,4.655130235965315,2.999750063937942,-7.844990564896772e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
455.69,4.655130371726227,2.9997500643611485,-7.844994437466134e-05,-0.028514442998260715,-0.17958502559981246,0.04825935145040485
