tempo_s,erro_posicao_m,erro_orientacao_deg
0.0,5.660801723494213,2.769551968695868
0.009999999999990905,5.6608018360429995,2.769551970915637
0.01999999999998181,5.660801948592619,2.7695519731353597
0.01999999999998181,5.66080206114307,2.7695519753550175
0.040000000000020464,5.660802173694353,2.769551977574625
0.040000000000020464,5.660802286246468,2.7695519797941763
0.060000000000002274,5.660802398799415,2.7695519820136867
0.06999999999999318,5.660802511353195,2.7695519842331433
0.07999999999998408,5.6608026239078075,2.769551986452539
0.08999999999997499,5.660802736463252,2.7695519886718825
0.08999999999997499,5.660802849019528,2.7695519908911796
0.11000000000001364,5.660802961576636,2.769551993110421
0.12000000000000455,5.660803074134577,2.76955199532962
0.12999999999999545,5.66080318669335,2.7695519975487666
0.13999999999998636,5.660803299252956,2.769551999767849
0.14999999999997726,5.660803411813394,2.7695520019868796
0.160000000000025,5.660803524374662,2.7695520042058495
0.160000000000025,5.660803636936766,2.7695520064247674
0.18000000000000682,5.660803749499699,2.769552008643631
0.18999999999999773,5.660803862063466,2.76955201086245
0.19999999999998863,5.660803974628065,2.7695520130812192
0.20999999999997954,5.660804087193496,2.7695520152999396
0.22000000000002728,5.6608041997597605,2.7695520175186035
0.2300000000000182,5.6608043123268565,2.769552019737221
0.2400000000000091,5.660804424894784,2.769552021955785
0.25,5.6608045374635445,2.7695520241742866
0.2599999999999909,5.660804650033138,2.769552026392737
0.2699999999999818,5.660804762603564,2.769552028611136
0.2799999999999727,5.66080487517482,2.7695520308294803
0.29000000000002046,5.660804987746911,2.769552033047763
0.30000000000001137,5.660805100319832,2.7695520352660106
0.3100000000000023,5.660805212893587,2.769552037484204
0.3199999999999932,5.660805325468175,2.769552039702335
0.3299999999999841,5.660805438043595,2.7695520419204254
0.339999999999975,5.660805550619847,2.7695520441384525
0.339999999999975,5.660805663196931,2.769552046356427
0.36000000000001364,5.660805775774848,2.76955204857435
0.37000000000000455,5.660805888353596,2.7695520507922136
0.37999999999999545,5.660806000933178,2.7695520530100373
0.38999999999998636,5.6608061135135905,2.7695520552278063
0.39999999999997726,5.660806226094839,2.769552057445518
0.39999999999997726,5.660806338676917,2.7695520596631766
0.4200000000000159,5.660806451259828,2.7695520618807814
0.4300000000000068,5.660806563843571,2.7695520640983355
0.4399999999999977,5.660806676428148,2.769552066315829
0.44999999999998863,5.660806789013556,2.7695520685332813
